County,American Indian,Asian/Pacific Islander,Black,Hispanic/Latino,Other,Unknown,White,ChartId
Georgia,0.67,2.87,29.91,4.22,10.82,0.64,50.88,
APPLING,0.328893274132544,0.452228251932247,17.4313435290248,2.63114619306035,6.72586745601052,0.386449597105739,72.0440716987337,
ATKINSON,0.443458980044345,0.120943358193912,18.9477927837129,9.07075186454343,5.8859100987704,0.241886716387825,65.2892561983471,
BACON,0.300214438884917,0.300214438884917,12.9949964260185,1.91565403859899,6.09006433166547,0.285918513223731,78.1129378127233,
BAKER,0.272108843537414,0.770975056689342,39.7278911564625,0.907029478458049,5.578231292517,0.181405895691609,52.5623582766439,
BALDWIN,0.387583117021654,0.999182164065,40.1095188991217,1.05607509867368,6.27955765743341,0.430252817978167,50.7378302457063,
BANKS,0.449071239028373,1.14309042661767,2.18411920800163,2.67401510512349,7.86555079267877,0.238143838878682,85.4460093896713,
BARROW,0.661492049525485,2.95864496260448,12.1865376154861,7.03915530136383,10.5414493117968,0.897178052919363,65.7155427063038,
BARTOW,0.773803906766065,0.806832122298763,9.83179201660847,4.18986505614796,10.0110880437859,0.416391431537227,73.9702274228555,
BEN HILL,0.409607149506609,0.484081176689629,33.3736734313908,2.26214857568423,6.1999627629864,0.418916402904487,56.8516105008378,
BERRIEN,0.609560474815527,0.497273018928456,9.75296759704844,2.00513314084055,5.87905036894449,0.513314084055181,80.7427013153673,
BIBB,0.612082740314511,1.34902686702698,51.6009325311935,1.51405345464388,7.51001947139102,0.643516376051062,36.770368559379,
BLECKLEY,0.307881773399014,0.689655172413793,19.4581280788177,0.800492610837438,5.38177339901477,0.381773399014778,72.9802955665024,
BRANTLEY,0.344544708777686,0.139458572600492,2.57588187038556,0.713699753896636,5.69319114027891,0.328137817883511,90.2050861361771,
BROOKS,0.384615384615384,0.367521367521367,33.9572649572649,2.12820512820512,6.76923076923076,0.487179487179487,55.9059829059829,
BRYAN,0.866435986159169,1.85190311418685,12.9993079584775,4.11072664359861,10.8844290657439,1.08512110726643,68.2020761245674,
BULLOCH,0.639697090474292,0.904742925468314,24.0793144679155,1.83539258668792,9.99601434834595,0.448385811080111,62.0964527700279,
BURKE,0.487252124645892,0.407932011331444,43.0651558073654,1.1728045325779,8.06232294617563,0.379603399433427,46.4249291784702,
BUTTS,0.577238786209818,0.285971508764497,21.5855531430387,1.49340676799237,9.44765132659005,0.503098024678282,66.1070804427262,
CALHOUN,0.192802056555269,0.514138817480719,58.1940874035989,0.482005141388174,4.49871465295629,0.289203084832904,35.8290488431876,
CAMDEN,0.800019219680953,1.30213338458581,15.3228906400153,3.15683259657889,16.3319238900634,0.643859311935421,62.4423409571401,
CANDLER,0.318056961110307,0.433714037877692,21.5845019517131,3.05045539973977,9.31039467977446,0.260228422726615,65.0426485470579,
CARROLL,0.788694656323602,0.687136714276453,17.1449253441085,2.73990362799541,10.0769247390825,0.61474967047689,67.9476652477365,
CATOOSA,0.482544977957822,0.986933555740895,2.38690972635926,1.43572024305969,9.59926923229675,0.403113705865999,84.7055085587195,
CHARLTON,0.682451253481894,0.459610027855153,18.7186629526462,0.919220055710306,11.7270194986072,0.417827298050139,67.075208913649,
CHATHAM,0.769433929043049,1.92006338586143,34.5373712474689,3.27801743111189,10.0598644246852,0.809490272030988,48.6257593097984,
CHATTAHOOCHEE,0.991325898389095,2.6848409748038,23.3168112350268,8.61214374225526,14.415530772408,1.09458901280462,48.8847583643122,
CHATTOOGA,0.554445232415705,0.354587067242602,6.30520275933208,1.37966604345303,9.47714525175681,0.328798916897685,81.600154728902,
CHEROKEE,0.611260814068926,1.67446697867914,5.9835484328464,4.79411903748877,11.6806126790526,0.443908665437526,74.8120833924266,
CLARKE,0.787372783228716,2.00865378755561,25.8443537083307,4.76933390212688,10.7489792187214,0.480224267170455,55.3610823328661,
CLAY,0.0927213722763096,0.0927213722763096,53.2220676866017,0.417246175243393,4.21882243857209,0.185442744552619,41.7709782104775,
CLAYTON,0.795620473131544,3.06489776445586,69.3105425736467,5.07153837627884,12.0485179098939,0.88669998216962,8.82218292042349,
CLINCH,0.406779661016949,0.271186440677966,26.1694915254237,1.01694915254237,6.14689265536723,0.31638418079096,65.6723163841807,
COBB,0.817235866117998,3.60286216024952,26.487737967307,6.26093186206414,11.4530093745358,0.589730820643199,50.7884919490822,
COFFEE,0.413976452715533,0.592480060767185,25.8108621344473,4.38663121914166,6.69578427649069,0.34941131788834,61.7508545385491,
COLQUITT,0.498302081795363,0.686549534918057,22.2390373542005,6.31551749593976,7.17554997785324,0.538904473645356,62.5461390816477,
COLUMBIA,0.920851231916259,3.46779900920028,17.5883408219358,3.82577066772,10.3836468671307,0.677265919452262,63.1363254826445,
COOK,0.285516525350406,0.571033050700813,27.08080982869,2.43121647343831,2.62156082367191,0.198996366153313,66.8108669319951,
COWETA,0.611870638031584,1.42972613574141,15.7269874931555,3.35746629931251,12.6702417062847,0.794388868126233,65.4093188593479,
CRAWFORD,0.553219738880283,0.320867448550564,18.3558309360478,1.31666297853507,6.90418234122593,0.50896215976986,72.0402743969904,
CRISP,0.302784137065209,0.598183295177608,39.5539472712502,0.915737390148438,7.56221844767742,0.302784137065209,50.7643453216158,
DADE,0.456040669856459,0.538277511961722,0.568181818181818,0.979366028708134,9.8758971291866,0.859748803827751,86.7224880382775,
DAWSON,0.498544250787699,0.857496111354843,0.933274837474574,2.55653491803932,8.64276313165556,0.402823754636461,86.1085629960515,
DECATUR,0.38635610994591,0.397394855944364,37.5372557677447,2.27398167568164,5.82293851418478,0.375317363947455,53.206755712551,
